OBJECTID,RSPB_Reference,County,Country,Incident_Type,Month,Year,Grid_Square,Details,More_info here,GlobalID
4249,87794,Lincolnshire,England,Trapping,January,2007,SK97,Species involved: Sparrowhawk x1,No Link,812bf13c-215a-4554-9510-643588254ae4
4250,87895,Cleveland,England,Shooting,February,2007,NZ41,Species involved: Sparrowhawk x1,No Link,a71c9a2d-6ccb-45fe-ba4d-a9dc831ede6a
4251,88231,Midlothian,Scotland,Shooting,March,2007,NT25,Species involved: Buzzard x1,No Link,bc5f2a8b-e978-408f-be95-ca8d686a951c
4252,88232,Scottish Borders,Scotland,Trapping,March,2007,NT71,Species targeted: Birds of Prey,No Link,ffa7e1a6-d314-43ae-8492-0369d5e60bb9
4253,88254,Scottish Borders,Scotland,Poisoning,April,2007,NT64,Species involved: Buzzard x1. Tested positive for: Carbofuran,No Link,f70f9010-54f0-4b91-985c-01d7f12b4011
4254,88258,South Lanarkshire,Scotland,Poisoning,March,2007,NS81,Species involved: Buzzard x1. Tested positive for: Carbofuran,No Link,b293caac-5699-4e20-89f7-0a778b077cd0
4255,88295,South Lanarkshire,Scotland,Poisoning,April,2007,NS81,Species involved: Red Kite x1. Tested positive for: Carbofuran,No Link,44b112f1-c9a4-4254-bd43-927e99b39d26
4256,88299,Stirling,Scotland,Poisoning,May,2007,NS78,Species Involved: Peregrine Falcon x1; poison bait (Pigeon Bait (Species Unknown) x1). Tested positive for: Malathion,No Link,8455d64a-5169-4c8e-9e5d-05cef45b00fe
4257,88321,Highland,Scotland,Trapping,May,2007,NJ02,Species targeted: Birds of Prey,No Link,52866a1e-b4bb-42b1-9b99-a868e6fdd7a6
4258,88330,Fife,Scotland,Shooting,March,2007,NT28,Species involved: Peregrine Falcon x1,No Link,ceaf41d5-9b28-49ad-9edb-ea9d7eb4f1c8
4259,88350,Cumbria,England,Shooting,April,2007,NY71,Species involved: Buzzard x2,No Link,77627773-cce7-4d9c-a8c8-d3c77eee1ed1
4260,88370,Aberdeenshire,Scotland,Trapping,April,2007,NJ93,"Species involved: Buzzard x1, Carrion Crow x1",No Link,7f010fde-4a2f-49db-ac63-bdc48df71080
4261,88371,Highland,Scotland,Poisoning,April,2007,NH84,Species involved: Red Kite x1. Tested positive for: Carbofuran,No Link,7674c151-161c-4d90-ade2-3a9f7595c941
4262,88375,North Yorkshire,England,Poisoning,March,2007,NZ00,Species Involved: Buzzard x1; poison bait (Rabbit Bait x1). Tested positive for: Alphachloralose,No Link,7a7badde-00af-453b-8356-e6ba7fdb419e
4263,88378,Highland,Scotland,Poisoning,March,2007,NH51,Species targeted: Birds of Prey. Species involved: poison bait (Hare Bait x2). Tested positive for: Mevinphos/Phosdrin,No Link,c4c658b4-b8c3-4139-a705-9bbd828ba1ac
4264,88389,Scottish Borders,Scotland,Poisoning,January,2007,NT34,"Species involved: Buzzard x1, Raven x1. Tested positive for: Carbofuran",No Link,f04cbb90-f9fc-4adb-addb-e9a168061bd6
4265,88393,North Yorkshire,England,Persecution (Other),May,2007,SE07,"Species targeted: Birds of Prey, Bird, Non-bird. Possession of: Alphachloralose",No Link,079f8f7e-3692-46fa-b89c-5fde773bab86
4266,88397,Edinburgh City,Scotland,Nest Destruction,June,2007,NT16,Species involved: Peregrine Falcon x3 nest,No Link,8ba0c8a4-e15e-426a-9caa-1c492d971b4d
4267,88399,Highland,Scotland,Poisoning,June,2007,NJ02,"Species Involved: Buzzard x1; poison bait (Hare Bait x2, Rabbit Bait x3). Tested positive for: Carbofuran",No Link,a3743139-bcfa-42b5-9d9c-dd5c7175d994
4268,88402,North Yorkshire,England,Trapping,May,2007,NZ40,Species targeted: Birds of Prey,No Link,8f139c45-c96e-4b3f-ac69-83459e2ef8b6
4269,88403,North Yorkshire,England,Trapping,May,2007,NZ50,Species targeted: Birds of Prey,No Link,80a0ba4f-2512-48a9-8f08-8e46ba84560c
4270,88404,North Yorkshire,England,Trapping,May,2007,SE59,Species targeted: Birds of Prey,No Link,5f9005ec-6103-4e93-8a6d-06dea9df9933
4271,88412,Highland,Scotland,Poisoning,May,2007,NH62,Species involved: Red Kite x1. Tested positive for: Carbofuran,No Link,fc087a85-adbe-476f-978a-087d8b2d523e
4272,88417,North Yorkshire,England,Trapping,May,2007,SE59,Species targeted: Birds of Prey,No Link,1353f5c7-68dc-49ee-bccc-b5540c8a19d1
4273,88418,North Yorkshire,England,Trapping,May,2007,SE59,Species targeted: Birds of Prey,No Link,c1102ff1-fd0e-4603-9786-d796089c20f6
