Details,species
"Species involved: Buzzard x1",": Buzzard x1"
"Species targeted: Birds of Prey. Species involved: Cat x1. Tested positive for: Carbofuran",": Cat x1"
"Species involved: Goshawk x1",": Goshawk x1"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Sparrowhawk x1",": Sparrowhawk x1"
"Species involved: Buzzard x1, Raven x1. Tested positive for: Carbofuran",": Buzzard x1, Raven x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species involved: Red Kite x1. Tested positive for: Carbofuran",": Red Kite x1"
"Species targeted: Birds of Prey. Species involved: poison bait (Rabbit Bait x1, Pigeon Bait (Species Unknown) x2). Tested positive for: Carbofuran",": poison bait (Rabbit Bait x1, Pigeon Bait (Species Unknown) x2)"
"Species targeted: Birds of Prey. Species involved: poison bait (Rabbit Bait x1). Tested positive for: Carbofuran",": poison bait (Rabbit Bait x1)"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species targeted: Birds of Prey. Species involved: Dog x1; poison bait (Rabbit Bait x1). Tested positive for: Aldicarb",": Dog x1; poison bait (Rabbit Bait x1)"
"Species targeted: Birds of Prey. Species involved: Carrion Crow x1",": Carrion Crow x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species involved: Goshawk x1",": Goshawk x1"
"Species involved: Barn Owl x1",": Barn Owl x1"
"Species involved: Golden Eagle x1",": Golden Eagle x1"
"Species involved: Sparrowhawk x1, Buzzard x2. Tested positive for: Carbofuran, Carbofuran",": Sparrowhawk x1, Buzzard x2"
"Species targeted: Birds of Prey. Species involved: Raven x1. Tested positive for: Carbofuran, Isofenphos",": Raven x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species targeted: Birds of Prey. Species involved: Raven x2; poison bait (Meat x1). Tested positive for: Bendiocarb",": Raven x2; poison bait (Meat x1)"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species targeted: Birds of Prey. Species involved: poison bait (Rabbit Bait x2). Tested positive for: Bendiocarb",": poison bait (Rabbit Bait x2)"
"Species involved: Sparrowhawk x1",": Sparrowhawk x1"
"Species involved: Buzzard x2. Tested positive for: Alphachloralose",": Buzzard x2"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species Involved: Buzzard x1, Magpie x1, Carrion Crow x2; poison bait (Rabbit Bait, Hare Bait x13). Tested positive for: Carbofuran","Species Involved: Buzzard x1, Magpie x1, Carrion Crow x2; poison bait (Rabbit Bait, Hare Bait x13)"
"Species Involved: Buzzard x3; poison bait (Hare Bait x5, Rabbit Bait x5). Tested positive for: Carbofuran","Species Involved: Buzzard x3; poison bait (Hare Bait x5, Rabbit Bait x5)"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species targeted: Birds of Prey. Species involved: poison bait (Rabbit Bait x1, Hare Bait x1). Tested positive for: Carbofuran",": poison bait (Rabbit Bait x1, Hare Bait x1)"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Red Kite x1",": Red Kite x1"
"Species involved: Tawny Owl x1",": Tawny Owl x1"
"Species involved: Sparrowhawk x1",": Sparrowhawk x1"
"Species involved: Sparrowhawk x1",": Sparrowhawk x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species involved: Red Kite x1. Tested positive for: Carbofuran",": Red Kite x1"
"Species Involved: Peregrine Falcon x1; poison bait (Pigeon Bait (Species Unknown) x1). Tested positive for: Malathion","Species Involved: Peregrine Falcon x1; poison bait (Pigeon Bait (Species Unknown) x1)"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species involved: Buzzard x2",": Buzzard x2"
"Species involved: Buzzard x1, Carrion Crow x1",": Buzzard x1, Carrion Crow x1"
"Species involved: Red Kite x1. Tested positive for: Carbofuran",": Red Kite x1"
"Species Involved: Buzzard x1; poison bait (Rabbit Bait x1). Tested positive for: Alphachloralose","Species Involved: Buzzard x1; poison bait (Rabbit Bait x1)"
"Species targeted: Birds of Prey. Species involved: poison bait (Hare Bait x2). Tested positive for: Mevinphos/Phosdrin",": poison bait (Hare Bait x2)"
"Species involved: Buzzard x1, Raven x1. Tested positive for: Carbofuran",": Buzzard x1, Raven x1"
"Species involved: Peregrine Falcon x3 nest",": Peregrine Falcon x3 nest"
"Species Involved: Buzzard x1; poison bait (Hare Bait x2, Rabbit Bait x3). Tested positive for: Carbofuran","Species Involved: Buzzard x1; poison bait (Hare Bait x2, Rabbit Bait x3)"
"Species involved: Red Kite x1. Tested positive for: Carbofuran",": Red Kite x1"
"Species involved: Sparrowhawk x1",": Sparrowhawk x1"
"Species involved: Peregrine Falcon x1. Tested positive for: Carbofuran",": Peregrine Falcon x1"
"Species involved: Red Kite x1. Tested positive for: Carbofuran",": Red Kite x1"
"Species Involved: Buzzard x1; poison bait (Rabbit Bait x1). Tested positive for: Carbofuran","Species Involved: Buzzard x1; poison bait (Rabbit Bait x1)"
"Species involved: Peregrine Falcon x2. Tested positive for: Carbofuran",": Peregrine Falcon x2"
"Species involved: Birds of Prey x1",": Birds of Prey x1"
"Species involved: Short-eared Owl x1",": Short-eared Owl x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Kestrel x1",": Kestrel x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Red Kite x1. Tested positive for: Carbofuran",": Red Kite x1"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species targeted: Birds of Prey. Species involved: Lesser Black-backed Gull x1; poison bait (Rabbit Bait x1). Tested positive for: Alphachloralose",": Lesser Black-backed Gull x1; poison bait (Rabbit Bait x1)"
"Species targeted: Birds of Prey. Species involved: poison bait (Rabbit Bait x1). Tested positive for: Alphachloralose",": poison bait (Rabbit Bait x1)"
"Species targeted: Birds of Prey. Species involved: poison bait (Rabbit Bait x1). Tested positive for: Alphachloralose",": poison bait (Rabbit Bait x1)"
"Species involved: Red Kite x1",": Red Kite x1"
"Species involved: Red Kite x1",": Red Kite x1"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species involved: Hobby x1",": Hobby x1"
"Species involved: Red Kite x1. Tested positive for: Carbofuran, Isofenphos",": Red Kite x1"
"Species involved: Golden Eagle x1. Tested positive for: Carbofuran",": Golden Eagle x1"
"Species involved: Red Kite x1. Tested positive for: Bendiocarb",": Red Kite x1"
"Species Involved: Red Kite x2, Carrion Crow x1, Fox x1; poison bait (Rabbit Bait x1). Tested positive for: Mevinphos/Phosdrin","Species Involved: Red Kite x2, Carrion Crow x1, Fox x1; poison bait (Rabbit Bait x1)"
"Species involved: Kestrel x3",": Kestrel x3"
"Species involved: Red Kite x1. Tested positive for: Chlorpyrifos",": Red Kite x1"
"Species involved: Red Kite x1. Tested positive for: Carbofuran, Isofenphos",": Red Kite x1"
"Species involved: Red Kite x1. Tested positive for: Carbofuran, Isofenphos",": Red Kite x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Marsh Harrier x1",": Marsh Harrier x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Red Kite x1. Tested positive for: Chlorpyrifos",": Red Kite x1"
"Species involved: Hen Harrier x1",": Hen Harrier x1"
"Species involved: Barn Owl x1",": Barn Owl x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species involved: Buzzard x1. Tested positive for: Alphachloralose",": Buzzard x1"
"Species targeted: Birds of Prey, Corvidae, Non-bird. Species involved: poison bait (Rabbit Bait x1). Tested positive for: Alphachloralose",": poison bait (Rabbit Bait x1)"
"Species targeted: Birds of Prey. Species involved: Dog x2; poison bait (Other x1). Tested positive for: Strychnine",": Dog x2; poison bait (Other x1)"
"Species targeted: Birds of Prey. Species involved: Dog x1; poison bait (Unknown x1). Tested positive for: Aldicarb",": Dog x1; poison bait (Unknown x1)"
"Species Involved: Peregrine Falcon x1; poison bait (Pigeon Bait (Species Unknown) x1). Tested positive for: Alphachloralose","Species Involved: Peregrine Falcon x1; poison bait (Pigeon Bait (Species Unknown) x1)"
"Species involved: Sparrowhawk x1",": Sparrowhawk x1"
"Species targeted: Birds of Prey. Species involved: Dog x1; poison bait (Meat). Tested positive for: Carbofuran",": Dog x1; poison bait (Meat)"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Alphachloralose",": Buzzard x1"
"Species targeted: Birds of Prey. Species involved: Cat x2. Tested positive for: Carbofuran",": Cat x2"
"Species involved: Peregrine Falcon x1. Tested positive for: Carbofuran",": Peregrine Falcon x1"
"Species targeted: Birds of Prey. Species involved: poison bait (Pigeon Bait (Species Unknown) x1). Tested positive for: Carbofuran",": poison bait (Pigeon Bait (Species Unknown) x1)"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Red Kite x1. Tested positive for: Carbofuran",": Red Kite x1"
"Species Involved: Buzzard x2; poison bait (Pheasant Bait x2). Tested positive for: Carbofuran","Species Involved: Buzzard x2; poison bait (Pheasant Bait x2)"
"Species involved: Buzzard x1. Tested positive for: Carbofuran, Other",": Buzzard x1"
"Species Involved: Buzzard x1, Magpie x1, Carrion Crow x2; poison bait (Rabbit Bait, Hare Bait x13). Tested positive for: Carbofuran","Species Involved: Buzzard x1, Magpie x1, Carrion Crow x2; poison bait (Rabbit Bait, Hare Bait x13)"
"Species Involved: Buzzard x3; poison bait (Hare Bait x5, Rabbit Bait x5). Tested positive for: Carbofuran","Species Involved: Buzzard x3; poison bait (Hare Bait x5, Rabbit Bait x5)"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species targeted: Birds of Prey. Species involved: poison bait (Rabbit Bait x1, Hare Bait x1). Tested positive for: Carbofuran",": poison bait (Rabbit Bait x1, Hare Bait x1)"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Osprey x1",": Osprey x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species Involved: Buzzard x1; poison bait (Rabbit Bait x1). Tested positive for: Carbofuran","Species Involved: Buzzard x1; poison bait (Rabbit Bait x1)"
"Species involved: Buzzard x1. Tested positive for: Alphachloralose",": Buzzard x1"
"Species targeted: Birds of Prey. Species involved: Cat x1. Tested positive for: Aldicarb",": Cat x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species involved: Buzzard x1, Raven x2. Tested positive for: Carbofuran",": Buzzard x1, Raven x2"
"Species targeted: Birds of Prey. Species involved: Dog x2; poison bait (Rabbit Bait x1). Tested positive for: Endrin",": Dog x2; poison bait (Rabbit Bait x1)"
"Species targeted: Birds of Prey, Badger. Species involved: Dog x1; poison bait (Meat x1). Tested positive for: Metaldehyde",": Dog x1; poison bait (Meat x1)"
"Species involved: Red Kite x1",": Red Kite x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x2",": Buzzard x2"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species targeted: Birds of Prey. Species involved: Dog x1; poison bait (Rabbit Bait x1). Tested positive for: Aldicarb",": Dog x1; poison bait (Rabbit Bait x1)"
