Year,Incident_Type,county_and_incident_type_total
2007,poisoning,64
2007,shooting,46
2007,trapping,27
2007,"persecution (other)",3
2007,"nest destruction",2
2008,poisoning,52
2008,shooting,27
2008,trapping,12
2008,"persecution (other)",7
2008,"nest destruction",1
2009,poisoning,84
2009,shooting,35
2009,"persecution (other)",11
2009,trapping,10
2009,"nest destruction",2
2010,poisoning,66
2010,shooting,28
2010,trapping,22
2010,"persecution (other)",7
2010,"nest destruction",3
2011,poisoning,49
2011,shooting,33
2011,trapping,11
2011,"persecution (other)",8
2011,"nest destruction",1
2012,poisoning,34
2012,shooting,34
2012,trapping,22
2012,"persecution (other)",9
2012,"nest destruction",6
2013,shooting,51
2013,poisoning,48
2013,trapping,35
2013,"persecution (other)",5
2013,"nest destruction",2
2014,shooting,56
2014,poisoning,28
2014,trapping,15
2014,"nest destruction",4
2014,"persecution (other)",3
2015,shooting,45
2015,poisoning,33
2015,trapping,17
2015,"persecution (other)",6
2015,"nest destruction",2
2016,shooting,42
2016,poisoning,25
2016,trapping,17
2016,"persecution (other)",5
2016,"nest destruction",1
2017,shooting,61
2017,poisoning,9
2017,"persecution (other)",7
2017,trapping,6
2017,"nest destruction",5
2018,shooting,44
2018,poisoning,30
2018,trapping,18
2018,"persecution (other)",3
2019,shooting,48
2019,poisoning,28
2019,trapping,10
2019,"persecution (other)",5
2020,shooting,61
2020,poisoning,45
2020,"persecution (other)",25
2020,trapping,21
2020,"nest destruction",3
2021,shooting,43
2021,poisoning,35
2021,trapping,19
2021,"persecution (other)",13
2021,"nest destruction",3
2022,shooting,32
2022,poisoning,14
2022,"persecution (other)",13
2022,trapping,13
2022,"nest destruction",4
2023,shooting,42
2023,poisoning,10
2023,trapping,9
2023,"persecution (other)",5
2024,shooting,30
2024,poisoning,12
2024,"persecution (other)",8
2024,trapping,2
2024,"nest destruction",2
